Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
428,SFG,2022-04-23,@,WSN,W 5-2,38,34,5,10,9,1,0,0,5,1,1,2,5,.294,.342,.324,.666,11,1,1,0,1,0
429,ATL,2022-04-23,,MIA,L 7-9,39,35,7,9,3,2,1,3,7,1,0,1,10,.257,.308,.629,.936,22,0,2,0,1,0
430,SDP,2022-04-23,,LAD,W 3-2 (10),37,30,3,5,3,1,0,1,3,1,0,4,9,.167,.250,.300,.550,9,1,0,1,2,0
431,PHI,2022-04-23,,MIL,L 3-5,33,31,3,7,4,2,1,0,3,1,0,1,7,.226,.242,.355,.597,11,2,0,0,1,0
432,ARI,2022-04-23,,NYM,W 5-2,38,34,5,11,8,2,1,0,5,1,0,3,7,.324,.368,.441,.810,15,0,0,0,1,0
433,MIL,2022-04-23,@,PHI,W 5-3,36,35,5,9,7,1,0,1,4,2,1,1,9,.257,.278,.371,.649,13,0,0,0,0,0
434,CHC,2022-04-23,,PIT,W 21-0,53,48,21,23,18,4,0,1,19,2,0,4,3,.479,.528,.625,1.153,30,1,1,0,0,0
435,SEA,2022-04-23,,KCR,W 13-7,48,40,13,16,8,6,0,2,13,2,0,8,10,.400,.500,.700,1.200,28,0,0,0,0,0
436,CHW,2022-04-23,@,MIN,L 2-9,36,34,2,7,4,2,0,1,2,0,0,2,11,.206,.250,.353,.603,12,0,0,0,0,0
437,CLE,2022-04-23,@,NYY,L 4-5,32,30,4,4,2,0,0,2,4,0,0,2,9,.133,.188,.333,.521,10,1,0,0,0,0
438,TEX,2022-04-23,@,OAK,W 2-0,32,30,2,5,5,0,0,0,2,1,1,1,9,.167,.219,.167,.385,5,1,1,0,0,0
439,KCR,2022-04-23,@,SEA,L 7-13,43,37,7,10,6,3,0,1,6,1,0,5,9,.270,.372,.432,.805,16,0,1,0,0,0
440,BOS,2022-04-23,@,TBR,L 2-3 (10),38,32,2,2,1,0,1,0,2,1,0,5,6,.063,.184,.125,.309,4,0,0,0,1,0
441,DET,2022-04-23 (1),,COL,W 13-0,45,42,13,20,18,1,0,1,13,0,0,3,7,.476,.511,.571,1.083,24,1,0,0,0,0
442,COL,2022-04-23 (1),@,DET,L 0-13,34,32,0,7,7,0,0,0,0,0,0,2,10,.219,.265,.219,.483,7,2,0,0,0,0
443,COL,2022-04-23 (2),@,DET,W 3-2,33,30,3,3,1,0,0,2,3,0,0,3,11,.100,.182,.300,.482,9,0,0,0,0,0
444,DET,2022-04-23 (2),,COL,L 2-3,36,33,2,6,5,0,1,0,2,1,0,3,11,.182,.250,.242,.492,8,0,0,0,0,0
445,BAL,2022-04-24,@,LAA,L 6-7,40,34,6,9,4,3,0,2,6,2,0,5,12,.265,.375,.529,.904,18,1,1,0,0,0
446,LAA,2022-04-24,,BAL,W 7-6,40,29,7,7,6,0,0,1,7,0,1,9,3,.241,.450,.345,.795,10,1,2,0,0,0
447,TBR,2022-04-24,,BOS,W 5-2,37,30,5,9,6,2,0,1,4,0,1,4,3,.300,.432,.467,.899,14,0,3,0,0,0
448,MIN,2022-04-24,,CHW,W 6-4 (10),46,36,6,9,7,0,0,2,6,0,0,9,14,.250,.391,.417,.808,15,0,0,0,1,0
449,NYY,2022-04-24,,CLE,W 10-2,40,35,10,13,5,5,0,3,10,1,0,3,9,.371,.425,.771,1.196,27,1,1,0,1,0
450,DET,2022-04-24,,COL,L 2-6,36,33,2,7,6,1,0,0,2,0,0,3,6,.212,.278,.242,.520,8,1,0,0,0,0
451,TOR,2022-04-24,@,HOU,L 7-8 (10),43,39,7,10,5,3,0,2,7,0,0,3,11,.256,.302,.487,.790,19,0,0,0,1,0
452,SEA,2022-04-24,,KCR,W 5-4 (12),48,41,5,10,7,2,0,1,5,1,0,6,10,.244,.333,.366,.699,15,1,0,0,1,2
453,CHW,2022-04-24,@,MIN,L 4-6 (10),40,37,4,9,7,0,0,2,4,1,0,3,7,.243,.300,.405,.705,15,2,0,0,0,0
454,CLE,2022-04-24,@,NYY,L 2-10,35,32,2,6,5,0,1,0,2,0,0,3,10,.188,.257,.250,.507,8,1,0,0,0,0
455,TEX,2022-04-24,@,OAK,L 0-2,34,32,0,4,3,1,0,0,0,0,0,2,7,.125,.176,.156,.333,5,0,0,0,0,0
456,KCR,2022-04-24,@,SEA,L 4-5 (12),47,43,4,9,5,3,0,1,4,2,0,4,13,.209,.277,.349,.625,15,1,0,0,0,0
457,BOS,2022-04-24,@,TBR,L 2-5,34,33,2,6,4,2,0,0,2,0,0,1,9,.182,.206,.242,.448,8,0,0,0,0,0
458,OAK,2022-04-24,,TEX,W 2-0,33,27,2,5,3,1,0,1,2,0,1,6,9,.185,.333,.333,.667,9,1,0,0,0,1
459,HOU,2022-04-24,,TOR,W 8-7 (10),44,38,8,11,4,5,0,2,7,0,0,5,10,.289,.372,.579,.951,22,1,0,1,0,0
460,NYM,2022-04-24,@,ARI,W 6-2,41,37,6,10,7,2,0,1,4,1,0,2,6,.270,.341,.405,.747,15,1,2,0,0,0
461,MIA,2022-04-24,@,ATL,W 5-4,44,36,5,11,4,6,1,0,5,1,0,7,12,.306,.409,.528,.937,19,1,0,0,1,0
462,PIT,2022-04-24,@,CHC,W 4-3,40,32,4,6,4,2,0,0,3,2,0,7,9,.188,.325,.250,.575,8,1,0,0,1,0
463,STL,2022-04-24,@,CIN,L 1-4,35,34,1,7,4,3,0,0,1,1,0,1,10,.206,.229,.294,.523,10,0,0,0,0,0
464,LAD,2022-04-24,@,SDP,W 10-2,42,35,10,8,5,0,0,3,10,0,0,4,10,.229,.310,.486,.795,17,0,1,0,2,0
465,WSN,2022-04-24,,SFG,L 3-12,35,33,3,7,4,2,0,1,3,1,0,1,7,.212,.257,.364,.621,12,1,1,0,0,0
