Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
439,NYY,2021-04-18,,TBR,L 2-4,34,30,2,3,1,1,0,1,2,0,0,3,10,.100,.206,.233,.439,7,0,1,0,0,0
440,KCR,2021-04-18,,TOR,W 2-0,39,31,2,8,5,2,0,1,2,5,0,8,5,.258,.410,.419,.830,13,0,0,0,0,0
441,HOU,2021-04-18,@,SEA,L 2-7,34,29,2,1,0,1,0,0,2,1,0,2,7,.034,.121,.069,.190,2,0,1,0,1,0
442,DET,2021-04-18,@,OAK,L 2-3,36,33,2,6,6,0,0,0,2,0,0,3,11,.182,.250,.182,.432,6,0,0,0,0,0
443,OAK,2021-04-18,,DET,W 3-2,34,30,3,6,3,1,1,1,3,1,1,2,9,.200,.294,.400,.694,12,1,2,0,0,0
444,TBR,2021-04-18,@,NYY,W 4-2,34,31,4,6,4,1,0,1,4,0,1,1,12,.194,.235,.323,.558,10,0,1,0,1,0
445,BAL,2021-04-18,@,TEX,L 0-1 (10),34,34,0,5,3,2,0,0,0,0,0,0,10,.147,.147,.206,.353,7,0,0,0,0,0
446,CLE,2021-04-18,@,CIN,W 6-3,36,34,6,8,4,1,0,3,6,0,0,2,8,.235,.278,.529,.807,18,1,0,0,0,0
447,SDP,2021-04-18,,LAD,W 5-2,34,31,5,7,4,2,0,1,5,1,0,3,8,.226,.294,.387,.681,12,1,0,0,0,0
448,CHC,2021-04-18,,ATL,L 4-13,38,35,4,10,5,2,1,2,3,1,0,3,8,.286,.342,.571,.914,20,1,0,0,0,0
449,SFG,2021-04-18,@,MIA,W 1-0,39,35,1,6,4,2,0,0,1,1,0,4,11,.171,.256,.229,.485,8,0,0,0,0,1
450,MIL,2021-04-18,,PIT,L 5-6 (10),40,37,5,7,2,2,0,3,5,0,0,3,11,.189,.250,.486,.736,18,0,0,0,0,0
451,COL,2021-04-18,,NYM,L 1-2,30,29,1,4,3,1,0,0,1,0,1,1,5,.138,.167,.172,.339,5,1,0,0,0,0
452,LAD,2021-04-18,@,SDP,L 2-5,32,30,2,3,2,0,0,1,2,0,0,2,14,.100,.156,.200,.356,6,0,0,0,0,0
453,WSN,2021-04-18,,ARI,L 2-5,36,32,2,6,4,0,0,2,2,0,0,3,11,.188,.278,.375,.653,12,0,1,0,0,0
454,ARI,2021-04-18,@,WSN,W 5-2,43,35,5,11,7,2,0,2,4,0,1,7,7,.314,.419,.543,.961,19,0,0,0,1,1
455,BOS,2021-04-18 (1),,CHW,L 2-3 (7),26,26,2,8,6,1,0,1,2,0,1,0,3,.308,.308,.462,.769,12,2,0,0,0,0
456,CHW,2021-04-18 (1),@,BOS,W 3-2 (7),28,28,3,8,6,1,0,1,3,0,0,0,5,.286,.286,.429,.714,12,1,0,0,0,0
457,CHW,2021-04-18 (2),@,BOS,W 5-1 (7),32,28,5,10,6,3,0,1,5,0,0,2,6,.357,.406,.571,.978,16,2,1,0,1,0
458,BOS,2021-04-18 (2),,CHW,L 1-5 (7),26,25,1,4,3,1,0,0,1,0,0,1,8,.160,.192,.200,.392,5,0,0,0,0,0
459,TEX,2021-04-19,@,LAA,W 6-4,38,35,6,8,5,2,0,1,4,0,0,2,12,.229,.263,.371,.635,13,0,0,0,1,0
460,BOS,2021-04-19,,CHW,W 11-4,46,38,11,16,12,1,0,3,9,1,0,6,8,.421,.500,.684,1.184,26,0,1,0,1,0
461,TBR,2021-04-19,@,KCR,W 4-1,39,35,4,7,7,0,0,0,2,1,0,4,12,.200,.282,.200,.482,7,1,0,0,0,0
462,CHW,2021-04-19,@,BOS,L 4-11,36,36,4,9,4,4,1,0,4,2,0,0,12,.250,.250,.417,.667,15,0,0,0,0,0
463,SEA,2021-04-19,,LAD,W 4-3,31,28,4,4,1,1,0,2,4,0,1,2,9,.143,.226,.393,.619,11,0,1,0,0,0
464,KCR,2021-04-19,,TBR,L 1-4,32,30,1,5,3,2,0,0,1,0,0,0,5,.167,.188,.233,.421,7,1,1,0,1,0
465,SDP,2021-04-19,,MIL,L 1-3,32,27,1,2,2,0,0,0,1,0,1,5,8,.074,.219,.074,.293,2,1,0,0,0,0
466,LAD,2021-04-19,@,SEA,L 3-4,38,31,3,5,2,2,0,1,3,1,0,5,9,.161,.316,.323,.638,10,1,2,0,0,0
467,PHI,2021-04-19,,SFG,L 0-2,38,34,0,7,6,1,0,0,0,1,0,4,7,.206,.289,.235,.525,8,0,0,0,0,0
468,WSN,2021-04-19,,STL,L 5-12,39,34,5,7,3,4,0,0,4,0,0,3,8,.206,.282,.324,.606,11,0,1,0,1,0
469,SFG,2021-04-19,@,PHI,W 2-0,36,34,2,7,3,3,0,1,2,1,0,1,12,.206,.250,.382,.632,13,0,1,0,0,0
470,MIL,2021-04-19,@,SDP,W 3-1,34,32,3,5,1,1,0,3,3,0,0,2,15,.156,.206,.469,.675,15,0,0,0,0,0
471,STL,2021-04-19,@,WSN,W 12-5,43,36,12,12,4,2,1,5,12,0,0,3,8,.333,.415,.861,1.276,31,0,2,2,0,1
472,LAA,2021-04-19,,TEX,L 4-6,36,34,4,9,7,1,0,1,3,2,0,2,10,.265,.306,.382,.688,13,2,0,0,0,0
473,CLE,2021-04-20,,CHW,L 5-8,45,34,5,7,5,1,0,1,5,1,0,9,10,.206,.372,.324,.696,11,0,0,0,0,0
474,LAA,2021-04-20,,TEX,W 6-2,34,30,6,8,3,2,0,3,5,0,0,3,8,.267,.324,.633,.957,19,0,0,0,1,0
475,MIA,2021-04-20,,BAL,L 5-7,42,38,5,11,10,0,1,0,5,0,0,3,11,.289,.333,.342,.675,13,0,0,0,1,0
476,CHC,2021-04-20,,NYM,W 3-1,35,28,3,4,4,0,0,0,2,1,0,6,12,.143,.294,.143,.437,4,1,0,1,0,0
477,NYM,2021-04-20,@,CHC,L 1-3,38,33,1,6,5,0,0,1,1,0,0,5,9,.182,.289,.273,.562,9,0,0,0,0,0
478,COL,2021-04-20,,HOU,W 6-2,34,29,6,7,2,3,0,2,6,0,1,4,9,.241,.353,.552,.905,16,1,1,0,0,1
479,SDP,2021-04-20,,MIL,L 0-6,35,34,0,6,6,0,0,0,0,0,0,0,14,.176,.200,.176,.376,6,0,1,0,0,0
480,LAD,2021-04-20,@,SEA,W 1-0,32,28,1,2,1,1,0,0,1,1,0,4,7,.071,.188,.107,.295,3,1,0,0,0,0
481,PHI,2021-04-20,,SFG,L 7-10,39,35,7,9,5,1,0,3,7,0,0,4,9,.257,.333,.543,.876,19,1,0,0,0,0
482,WSN,2021-04-20,,STL,W 3-2,35,29,3,6,4,1,0,1,3,1,0,4,11,.207,.343,.345,.688,10,1,2,0,0,1
483,SFG,2021-04-20,@,PHI,W 10-7,40,35,10,11,5,1,0,5,10,0,0,4,7,.314,.385,.771,1.156,27,2,0,1,0,0
